"name","address","website","facebook","phone","email","hours","longitude","latitude","countryCode"
"Bioazórica (sede da Cooperativa)","Vinha Brava","http://bioazorica.wixsite.com/bioazorica","","965 090 432","geral@bioazorica.pt","",-27.2141084,38.6765419,"PT"
"Casa do Jardim","Jardim Duque da Terceira, Angra do Heroísmo","http://bioazorica.wixsite.com/bioazorica","","967 342 361","geral@bioazorica.pt","",-27.2191064,38.6565813,"PT"
"Vertente dos Sabores","3800-305 Esgueira, Aveiro, Portugal","https://www.facebook.com/vertentedossabores/","","915 388 815","","",-8.6293025,40.651343,"PT"
"Biogrêsso","Sanfins, Sever do Vouga","http://biogresso.blogspot.pt/","","917 745 008","biogresso@gmail.com","",-8.3307228,40.7624726,"PT"
"Celeiro – Nova Arcada","Avenida de Lamas, nº 100 União de Freguesias Real, Dume e Semelhe, 4700-068 Braga, PT","https://www.celeiro.pt/","","253 070 611","apoioaocliente@celeiro.pt","",-8.4309309,41.57764390000001,"PT"
"Jardim Verde","C. C. Minho Center, Lj. 46, 4710-095 Braga","http://jardimverde.pt/","","253 252 880","","",-8.400464,41.540935,"PT"
"Quintinha da Su Loja Biológica","Rua Boaventura Passos, Mercado Municipal Loja A1, 8150-121 São Brás de Alportel","www.quintinhadasu.pt","facebook.com/quintinhada.su","914 440 065 / 918 102 450","quintinhadasu@gmail.com","",-7.888068100000001,37.1544472,"PT"
"Cozinha Consciente","Rua de Olivença, Galerias Topázio nº 9, 2º andar loja 35, 3000-306 Coimbra","","https://www.facebook.com/restaurantecozinhaconsciente/","929 412 000 / 239 091 948","","",-8.426128,40.205416,"PT"
"Souk","Rua de Viana nº11B, 7005-410 Évora","http://soukportugal.wixsite.com/soukmerceariabio","","965 412 156","souk.portugal@gmail.com","",-7.912863,38.565448,"PT"
"Mercado Agrobio de Portimão","Jardim Visconde Bívar","","","213 641 354 / 918 545 115","geral@agrobio.pt","Sábados, das 9h às 14h",-8.5339099,37.1382361,"PT"
"Herdade do Escrivão","Av. 1º de Maio, nº119 R/C, 6000-086 Castelo Branco","www.herdadedoescrivao.com","","272 324 484 / 967 046 818","samescrivao@gmail.com","",-7.4940975,39.822116,"PT"
"Mercado Biológico","Junto ao Paúl da Praia da Vitória","http://bioazorica.wixsite.com/bioazorica","","927 638 165 / 295 543 401","geral@bioazorica.pt","",-27.0612301,38.735145,"PT"
